Pergunta,Resposta
"Qual o prazo de entrega?","A entrega e feita em ate 10 dias uteis apos a confirmacao do pagamento. Se voce ja fez o pedido e quer a previsao exata do seu, me passa o numero do pedido que eu aciono um atendente para confirmar."
"Cade meu pedido? / Foi despachado?","Consigo te ajudar a agilizar. Me envia o numero do pedido que eu ja aciono a equipe para verificar o status e o rastreio do seu envio."
"Como acompanho o rastreio?","Assim que o pedido e despachado, o codigo de rastreio e enviado a voce. Se ainda nao recebeu, me passa o numero do pedido que eu peco a equipe para reenviar o rastreio."
"O frete e gratis?","O frete e gratis em pedidos acima de R$ 349,00 para todo o Brasil."
"Quais as formas de pagamento?","Aceitamos cartao em ate 3x sem juros, PIX e boleto."
"Tem desconto para comprar mais de um?","Sim: 5% de desconto na compra de 2 unidades e 10% na compra de 3 unidades do mesmo produto."
"Como funciona a devolucao e a garantia?","Voce tem devolucao gratis em ate 15 dias e garantia de satisfacao de 30 dias."
"Meu pagamento nao passou / cartao recusado / Pix nao caiu","Pode ficar tranquilo, a Botanika e uma marca seria. As vezes o site fica instavel por muito acesso. Me conta se foi no cartao ou no Pix que eu aciono um atendente para te ajudar a concluir a compra com seguranca."
"O site parece inseguro / e confiavel?","Pode confiar, a Botanika Brasil e uma marca de suplementacao premium. Nosso site oficial e botanikabrasil.com.br e o suporte e o https://wa.me/553172679362. Se o pagamento nao estiver passando, costuma ser instabilidade por alto acesso; posso acionar um atendente para te ajudar."
"Preciso mudar o endereco do meu pedido","Sem problema. Me envia o numero do pedido e o endereco correto completo que eu ja repasso para a equipe atualizar antes do envio."
"Quero incluir mais produtos num pedido ja feito","Consigo encaminhar isso. Me passa o numero do pedido e quais produtos voce quer incluir que eu aciono a equipe para verificar se ainda da tempo antes do envio."
"O cupom deu erro / invalido no checkout","Vou te ajudar. Me manda um print da tela de erro e o cupom que voce tentou usar que eu aciono um atendente para resolver."
"Quero cancelar ou pedir reembolso","Entendo. Me passa o numero do pedido e o motivo que eu ja aciono um atendente para cuidar do seu caso com prioridade."
"Os produtos tem gluten ou acucar?","Todos os produtos sao sem adicao de acucares e sem gluten. A unica excecao e o Whey Balance Chocolate, que contem lactose."
